iter	Passed	Remaining
233	1267	4147
234	1269	4131
235	1271	4116
236	1274	4101
237	1278	4092
238	1280	4078
239	1283	4063
240	1285	4047
241	1287	4032
242	1293	4028
243	1295	4012
244	1296	3996
245	1299	3983
246	1301	3967
247	1303	3951
248	1306	3940
249	1309	3927
250	1311	3912
251	1313	3898
252	1315	3884
253	1317	3869
254	1320	3859
255	1323	3847
256	1384	4003
257	1386	3988
258	1389	3974
259	1390	3958
260	1392	3943
261	1394	3928
262	1396	3913
263	1399	3900
264	1401	3886
265	1403	3871
266	1405	3857
267	1407	3843
268	1409	3829
269	1411	3814
270	1414	3806
271	1417	3792
272	1418	3778
273	1421	3765
274	1422	3751
275	1424	3737
276	1426	3723
277	1428	3709
278	1432	3701
279	1436	3694
280	1438	3681
281	1441	3669
282	1443	3655
283	1446	3646
284	1449	3636
285	1451	3623
286	1454	3614
287	1456	3601
288	1458	3588
289	1461	3578
290	1466	3572
291	1468	3559
292	1470	3547
293	1472	3535
294	1474	3523
295	1478	3516
296	1481	3507
297	1484	3496
298	1486	3485
299	1489	3474
300	1494	3470
301	1497	3460
302	1499	3449
303	1502	3438
304	1504	3427
305	1506	3417
306	1510	3408
307	1512	3397
308	1514	3386
309	1516	3375
310	1518	3363
311	1520	3352
312	1523	3344
313	1525	3333
314	1527	3322
315	1529	3311
316	1531	3299
317	1533	3288
318	1535	3277
319	1538	3269
320	1540	3258
321	1542	3248
322	1545	3238
323	1547	3228
324	1549	3218
325	1551	3208
326	1554	3199
327	1556	3188
328	1558	3177
329	1559	3167
330	1562	3157
331	1564	3146
332	1565	3136
333	1568	3127
334	1570	3117
335	1603	3168
336	1605	3159
337	1608	3149
338	1610	3139
339	1612	3130
340	1614	3120
341	1617	3111
342	1619	3102
343	1622	3093
344	1624	3084
345	1626	3075
346	1629	3066
347	1632	3059
348	1634	3049
349	1636	3039
350	1638	3029
351	1640	3019
352	1642	3010
353	1644	3000
354	1647	2993
355	1649	2983
356	1651	2974
357	1653	2965
358	1655	2955
359	1657	2946
360	1659	2937
361	1663	2931
362	1665	2922
363	1667	2913
364	1669	2903
365	1671	2894
366	1672	2885
367	1674	2876
368	1678	2870
369	1682	2864
370	1684	2856
371	1686	2847
372	1689	2839
373	1691	2831
374	1696	2827
375	1698	2819
376	1700	2810
377	1703	2802
378	1705	2793
379	1707	2786
380	1711	2779
381	1713	2771
382	1715	2763
383	1717	2755
384	1719	2746
385	1721	2738
386	1726	2734
387	1728	2727
388	1731	2719
389	1733	2711
390	1736	2704
391	1741	2701
392	1743	2693
393	1745	2685
394	1747	2676
395	1749	2668
396	1751	2660
397	1755	2655
398	1757	2647
399	1759	2639
400	1761	2631
401	1763	2622
402	1765	2614
403	1766	2606
404	1770	2601
405	1772	2593
406	1774	2585
407	1776	2577
408	1778	2569
409	1780	2561
410	1782	2553
411	1786	2549
412	1788	2541
413	1824	2582
414	1826	2574
415	1827	2566
416	1829	2558
417	1835	2556
418	1838	2549
419	1840	2541
420	1841	2533
421	1843	2525
422	1846	2518
423	1851	2514
424	1853	2507
425	1855	2500
426	1857	2492
427	1859	2485
428	1861	2478
429	1866	2474
430	1869	2468
431	1871	2460
432	1873	2452
433	1875	2445
434	1877	2438
435	1881	2434
436	1884	2427
437	1886	2420
438	1888	2412
439	1890	2406
440	1893	2400
441	1898	2396
442	1907	2397
443	1909	2391
444	1914	2387
445	1915	2379
446	1918	2373
447	1920	2366
448	1921	2358
449	1923	2351
450	1946	2369
451	1948	2361
452	1949	2354
453	1951	2346
454	1953	2339
455	1955	2332
456	1956	2325
457	1961	2320
458	1963	2314
459	1965	2307
460	1967	2300
461	1970	2294
462	1971	2287
463	1974	2280
464	1976	2274
465	1982	2272
466	1985	2266
467	1987	2259
468	1989	2253
469	1991	2246
470	1997	2243
471	2000	2238
472	2002	2231
473	2005	2225
474	2007	2218
475	2008	2211
476	2010	2204
477	2014	2200
478	2018	2195
479	2020	2188
480	2022	2182
481	2024	2175
482	2026	2169
483	2035	2169
484	2037	2163
485	2039	2156
486	2041	2150
487	2045	2146
488	2048	2140
489	2051	2134
490	2053	2128
491	2055	2121
492	2057	2115
493	2061	2112
494	2067	2108
495	2069	2102
496	2103	2128
497	2105	2122
498	2107	2115
499	2111	2111
500	2114	2106
501	2116	2099
502	2118	2093
503	2150	2116
504	2152	2110
505	2154	2103
506	2159	2099
507	2161	2093
508	2163	2087
509	2166	2081
510	2168	2074
511	2170	2068
512	2174	2064
513	2176	2058
514	2179	2052
515	2181	2045
516	2183	2039
517	2185	2033
518	2188	2028
519	2191	2022
520	2193	2016
521	2195	2010
522	2198	2004
523	2200	1998
524	2202	1992
525	2206	1988
526	2209	1982
527	2211	1976
528	2213	1971
529	2216	1965
530	2220	1961
531	2222	1954
532	2224	1948
533	2225	1942
534	2227	1936
535	2229	1930
536	2231	1923
537	2233	1917
538	2237	1913
539	2240	1908
540	2242	1902
541	2244	1896
542	2245	1890
543	2247	1884
544	2252	1880
545	2254	1874
546	2256	1868
547	2258	1862
548	2260	1856
549	2261	1850
550	2263	1844
551	2266	1839
552	2268	1833
553	2270	1827
554	2272	1822
555	2274	1816
556	2276	1810
557	2278	1804
558	2280	1799
559	2283	1794
560	2285	1788
561	2287	1783
562	2289	1777
563	2291	1771
564	2293	1765
565	2295	1760
566	2298	1755
567	2300	1749
568	2302	1743
569	2304	1738
570	2306	1732
571	2308	1727
572	2310	1721
573	2313	1716
574	2315	1711
575	2317	1705
576	2319	1700
577	2321	1694
578	2364	1718
579	2365	1713
580	2367	1707
581	2370	1702
582	2372	1697
583	2379	1694
584	2381	1689
585	2384	1684
586	2386	1678
587	2388	1673
588	2396	1671
589	2398	1666
590	2400	1661
591	2402	1655
592	2404	1650
593	2408	1646
594	2410	1640
595	2412	1635
596	2414	1629
597	2415	1624
598	2482	1661
599	2484	1656
600	2487	1651
601	2493	1648
602	2494	1642
603	2496	1636
604	2498	1631
605	2500	1625
606	2502	1620
607	2506	1615
608	2508	1610
609	2509	1604
610	2511	1599
611	2513	1593
612	2515	1588
613	2517	1582
614	2523	1579
615	2525	1574
616	2527	1569
617	2530	1563
618	2531	1558
619	2534	1553
620	2538	1549
621	2541	1544
622	2543	1539
623	2546	1534
624	2548	1529
625	2550	1523
626	2552	1518
627	2554	1513
628	2556	1508
629	2558	1502
630	2560	1497
631	2562	1492
632	2565	1487
633	2568	1482
634	2570	1477
635	2576	1474
636	2579	1470
637	2583	1465
638	2585	1460
639	2587	1455
640	2588	1449
641	2590	1444
642	2593	1439
643	2597	1435
644	2600	1431
645	2602	1426
646	2604	1421
647	2606	1415
648	2609	1411
649	2614	1408
650	2616	1402
651	2618	1397
652	2620	1392
653	2623	1387
654	2691	1417
655	2697	1414
656	2699	1409
657	2702	1404
658	2704	1399
659	2707	1394
660	2714	1391
661	2716	1387
662	2719	1382
663	2721	1377
664	2730	1375
665	2733	1370
666	2735	1365
667	2736	1360
668	2738	1355
669	2745	1352
670	2747	1347
671	2749	1342
672	2752	1337
673	2753	1332
674	2755	1326
675	2762	1324
676	2766	1319
677	2768	1314
678	2770	1309
679	2778	1307
680	2780	1302
681	2782	1297
682	2785	1292
683	2792	1290
684	2794	1285
685	2796	1279
686	2798	1274
687	2800	1269
688	2802	1264
689	2806	1260
690	2811	1257
691	2814	1252
692	2816	1247
693	2818	1242
694	2823	1239
695	2825	1234
696	2827	1229
697	2829	1224
698	2831	1219
699	2834	1214
700	2836	1209
701	2838	1204
702	2840	1199
703	2842	1194
704	2846	1191
705	2852	1187
706	2854	1182
707	2856	1177
708	2858	1173
709	2861	1168
710	2864	1164
711	2867	1159
712	2869	1155
713	2872	1150
714	2874	1145
715	2876	1140
716	2880	1136
717	2883	1132
718	2884	1127
719	2886	1122
720	2888	1117
721	2890	1112
722	2892	1108
723	2895	1103
724	2898	1099
725	2901	1094
726	2903	1090
727	2905	1085
728	2910	1082
729	2913	1077
730	2916	1073
731	2917	1068
732	2920	1063
733	2922	1059
734	2942	1060
735	2946	1056
736	2947	1051
737	2950	1047
738	2953	1042
739	2954	1038
740	2961	1035
741	2963	1030
742	2966	1025
743	2968	1021
744	2970	1016
745	2976	1013
746	2978	1008
747	2980	1004
748	2982	999
749	2984	994
750	2987	990
751	2991	986
752	2993	981
753	2995	977
754	2997	972
755	2998	967
756	3000	963
757	3003	958
758	3006	954
759	3008	950
760	3010	945
761	3012	940
762	3014	936
763	3016	931
764	3020	927
765	3022	923
766	3025	918
767	3027	914
768	3029	909
769	3031	905
770	3033	900
771	3038	897
772	3040	892
773	3042	888
774	3044	883
775	3045	879
776	3047	874
777	3052	870
778	3054	866
779	3056	862
780	3058	857
781	3060	853
782	3063	848
783	3067	845
784	3071	841
785	3073	836
786	3075	832
787	3078	828
788	3080	823
789	3084	819
790	3085	815
791	3088	811
792	3090	806
793	3091	802
794	3093	797
795	3096	793
796	3098	789
797	3100	784
798	3101	780
799	3103	775
800	3105	771
801	3107	767
802	3108	762
803	3111	758
804	3113	754
805	3115	749
806	3117	745
807	3120	741
808	3122	737
809	3124	732
810	3126	728
811	3128	724
812	3130	720
813	3132	715
814	3134	711
815	3136	707
816	3138	702
817	3139	698
818	3184	703
819	3186	699
820	3188	695
821	3190	690
822	3194	687
823	3197	682
824	3199	678
825	3201	674
826	3204	670
827	3214	667
828	3216	663
829	3218	659
830	3220	654
831	3222	650
832	3226	646
833	3228	642
834	3231	638
835	3271	641
836	3281	639
837	3284	635
838	3287	630
839	3295	627
840	3298	623
841	3300	619
842	3302	615
843	3315	612
844	3317	608
845	3319	604
846	3325	600
847	3327	596
848	3330	592
849	3332	588
850	3334	583
851	3340	580
852	3342	575
853	3344	571
854	3348	567
855	3350	563
856	3355	559
857	3362	556
858	3367	552
859	3383	550
860	3385	546
861	3388	542
862	3390	538
863	3393	534
864	3397	530
865	3400	526
866	3402	521
867	3404	517
868	3407	513
869	3409	509
870	3415	505
871	3417	501
872	3420	497
873	3422	493
874	3424	489
875	3427	485
876	3429	481
877	3432	476
878	3436	473
879	3438	468
880	3440	464
881	3443	460
882	3445	456
883	3447	452
884	3458	449
885	3462	445
886	3465	441
887	3467	437
888	3469	433
889	3471	429
890	3473	424
891	3479	421
892	3481	417
893	3483	413
894	3485	408
895	3487	404
896	3489	400
897	3494	396
898	3496	392
899	3498	388
900	3500	384
901	3509	381
902	3511	377
903	3513	373
904	3520	369
905	3524	365
906	3528	361
907	3530	357
908	3534	353
909	3542	350
910	3544	346
911	3546	342
912	3569	340
913	3571	336
914	3574	332
915	3575	327
916	3577	323
917	3579	319
918	3581	315
919	3583	311
920	3585	307
921	3589	303
922	3591	299
923	3593	295
924	3595	291
925	3597	287
926	3599	283
927	3603	279
928	3605	275
929	3608	271
930	3610	267
931	3612	263
932	3614	259
933	3616	255
934	3619	251
935	3621	247
936	3623	243
937	3625	239
938	3627	235
939	3629	231
940	3631	227
941	3636	223
942	3638	219
943	3640	215
944	3643	212
945	3645	208
946	3647	204
947	3652	200
948	3654	196
949	3656	192
950	3659	188
951	3661	184
952	3663	180
953	3665	176
954	3667	172
955	3669	168
956	3671	164
957	3673	161
958	3675	157
959	3677	153
960	3679	149
961	3681	145
962	3683	141
963	3685	137
964	3687	133
965	3690	129
966	3692	125
967	3694	122
968	3695	118
969	3697	114
970	3699	110
971	3701	106
972	3703	102
973	3705	98
974	3707	95
975	3711	91
976	3713	87
977	3715	83
978	3716	79
979	3718	75
980	3720	72
981	3722	68
982	3728	64
983	3730	60
984	3732	56
985	3734	53
986	3735	49
987	3737	45
988	3742	41
989	3745	37
990	3746	34
991	3748	30
992	3750	26
993	3752	22
994	3832	19
995	3834	15
996	3836	11
997	3844	7
998	3846	3
999	3848	0
